name,training_dataset,dataset,size,recall
UPerNet,Massachusetts,austin,outlier,"0.4815 ± 0.0642 → 0.4074 ± 0.1283 (Δ=-0.0741, t=-0.76, p=0.529)"
UPerNet,Massachusetts,austin,small,"0.3234 ± 0.0258 → 0.3210 ± 0.0248 (Δ=-0.0024, t=-3.88, p=0.060)"
UPerNet,Massachusetts,austin,very_large,"0.8272 ± 0.0494 → 0.7654 ± 0.0327 (Δ=-0.0617, t=-1.32, p=0.317)"
UPerNet,Massachusetts,chicago,large,"0.4461 ± 0.0161 → 0.5380 ± 0.0009 (Δ=+0.0919, t=10.39, p=0.009)"
UPerNet,Massachusetts,chicago,medium,"0.1965 ± 0.0104 → 0.2953 ± 0.0231 (Δ=+0.0988, t=5.38, p=0.033)"
UPerNet,Massachusetts,chicago,outlier,"0.7576 ± 0.0262 → 0.6364 ± 0.0787 (Δ=-0.1212, t=-3.02, p=0.094)"
UPerNet,Massachusetts,chicago,small,"0.2116 ± 0.0255 → 0.2634 ± 0.0159 (Δ=+0.0517, t=3.54, p=0.071)"
UPerNet,Massachusetts,chicago,very_large,"0.5951 ± 0.0086 → 0.6234 ± 0.0142 (Δ=+0.0282, t=2.40, p=0.138)"
UPerNet,Massachusetts,kitsap,large,"0.6650 ± 0.1231 → 0.6388 ± 0.0816 (Δ=-0.0263, t=-0.33, p=0.771)"
UPerNet,Massachusetts,kitsap,medium,"0.4619 ± 0.0849 → 0.4251 ± 0.0269 (Δ=-0.0368, t=-0.84, p=0.491)"
UPerNet,Massachusetts,kitsap,outlier,"0.0000 ± 0.0000 → 0.0000 ± 0.0000 (Δ=+0.0000, t=nan, p=nan)"
UPerNet,Massachusetts,kitsap,small,"0.1618 ± 0.0504 → 0.1326 ± 0.0288 (Δ=-0.0292, t=-1.64, p=0.243)"
UPerNet,Massachusetts,kitsap,very_large,"0.1667 ± 0.0000 → 0.1667 ± 0.0000 (Δ=+0.0000, t=nan, p=nan)"
UPerNet,Massachusetts,overall,large,"0.6148 ± 0.0331 → 0.6226 ± 0.0259 (Δ=+0.0078, t=0.32, p=0.778)"
